sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,wc_price,inv_price,price_change,cambiara
810121053232,GLYCOJECT DE 2LB STRAWBERRY LEMONADE EVOGEN,variation,8,instock,8,instock,0,54.99,54.99,no,no
608631655271,AMINO ESENCIAL 52 SERV. 520G BERRY ICE TEA IMPULSE,variation,3,outofstock,3,outofstock,0,32.99,32.99,no,no
817189020206,GLYCOJECT DE 2LB WILD BERRY EVOGEN,variation,5,outofstock,5,outofstock,0,54.99,54.99,no,no
810121056455,ISOJECT MINI CRISPY COOKIES 1.87 LBS EVOGEN,variation,3,outofstock,3,outofstock,0,58.99,58.99,no,no
748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,variation,313,instock,231,instock,-82,43.2,3.60,SI,SI
748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,variation,1586,instock,1564,instock,-22,57.6,4.00,SI,SI
705016353439,ISO 100 FRUTY PEBLLES 5 LBS DYMATIZE,variation,13,instock,13,instock,0,140,140.00,no,no
608631655424,CREATINA STIM PRO52 SERV. FRUIT PUNCH IMPULSE,variation,52,instock,51,instock,-1,32.99,32.99,no,SI
817189025386,EVP 3D SOUR WATERMELON- EVOGEN,variation,6,outofstock,6,outofstock,0,49.99,49.99,no,no
703556204907,BCCA+ GLUTAMINA 30 SERV 330G PINA COLADA IMPULSE (AMINO BCAA),variation,1,outofstock,94,instock,93,32.99,29.99,SI,SI
748927051308,AMINO ENERGY WATERMELON 585G,variation,94,instock,94,instock,0,59.99,59.99,no,no
810121058701,EVP 3D PATRIOT POP- EVOGEN,variation,11,instock,11,instock,0,49.99,49.99,no,no
817189029117,EVP XTREME SMASHIN PASSION ORANGE,variation,6,outofstock,6,outofstock,0,49.99,49.99,no,no
748927026665,AMINO ENERGY FRUIT FUSION 270 G,variation,127,instock,125,instock,-2,32.99,32.99,no,SI
612590416002,AMINO REVOLUTION LANDERFIT RASPBERRY LEMONADE + ELECTROLITROS,variation,0,outofstock,0,outofstock,0,29.99,29.99,no,no
748927054002,AMINO ENERGY BLUEBERRY MOJITO 270 G,variation,29,instock,26,instock,-3,32.99,32.99,no,SI
631656259957,MAS TECH EXTREME 2000- VAINILLA MILK SHAKE 12 LIBRAS,variation,2,outofstock,2,outofstock,0,79.99,79.99,no,no
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,variation,305,instock,222,instock,-83,43.2,3.60,SI,SI
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,simple,1606,instock,1467,instock,-139,24.99,24.99,no,SI
181030000168,XTEND ORIGINAL 90 SERV. BLUE RASBERRY ICE,variation,6,outofstock,0,outofstock,-6,59.99,59.99,no,SI
811213027513,BPI MICRONIZED CREATINA 600G UNFLAVORED,simple,104,instock,103,instock,-1,41.96,41.96,no,SI
810121055298,HIDRATACION LEMON LIME,variation,14,instock,12,instock,-2,35.99,35.99,no,SI
745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,variation,88,instock,96,instock,8,95.99,95.99,no,SI
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,variation,318,instock,275,instock,-43,43.2,3.60,SI,SI
850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,simple,291,instock,248,instock,-43,44.99,44.99,no,SI
810121055328,EVP-AQ TROPIC THUNDER- EVOGEN,variation,0,outofstock,0,outofstock,0,44.99,44.99,no,no
842595131628,C4 PERFORMANCE 16OZ CREAMISCLE,variation,97,instock,92,instock,-5,45.6,3.80,SI,SI
853237000769,ISOFIT COOKIES AND CREAM 70SRV 5 LBS NUTREX,variation,1,outofstock,1,outofstock,0,84.99,84.99,no,no
7503018110479,WHEY PROTEIN 5 LBS CHOCO COCO,variation,16,instock,16,instock,0,75.99,75.99,no,no
810121054857,AMINO K.E.M VICTORY PUNCHS- EVOGEN,variation,4,outofstock,3,outofstock,-1,49.99,49.99,no,SI
850049150651,INT-WHEY-BLEND-COOKIES-CREAM-F L - 5LB (PROTEINA BLEND),variation,3,outofstock,1,outofstock,-2,99.99,99.99,no,SI
810121055908,CARNIGEN PREMIUN LIQUID VICTORY PUNCH-EVOGEN,variation,18,instock,15,instock,-3,34.99,34.99,no,SI
810390028344,ALPHA AMINO 30 SERV. WATERMELON CELLUCOR,variation,11,instock,10,instock,-1,29.99,29.99,no,SI
745560722039,L- CARNITINA 3500 MANGO ALEGRE IMPULSE,variation,0,outofstock,0,outofstock,0,29.99,29.99,no,no
