parent_id,parent_nombre,variation_id,sku,precio,stock,presentacion
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20465,842595111071,45.6,94,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20466,842595106572,45.6,79,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20467,842595131291,45.6,2740,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20468,842595131628,45.6,97,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20469,842595134957,45.6,77,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20470,842595131253,45.6,63,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20471,842595121766,45.6,115,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20472,842595121759,45.6,87,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20473,842595134971,45.6,66,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20474,842595106596,45.6,49,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20475,842595131277,45.6,197,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20476,842595133608,45.6,63,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20477,842595111095,45.6,62,"Pack 12"
20464,"Bebida Energética C4 Performance Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Diario",20478,842595134964,45.6,35,"Pack 12"
20442,"Bebida Energética C4 Ultimate Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Físico",20445,842595131741,45.6,28,"Pack 12"
20442,"Bebida Energética C4 Ultimate Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Físico",20446,842595135541,45.6,26,"Pack 12"
20442,"Bebida Energética C4 Ultimate Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Físico",20447,842595131727,45.6,57,"Pack 12"
20442,"Bebida Energética C4 Ultimate Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Físico",20448,842595135534,45.6,55,"Pack 12"
20442,"Bebida Energética C4 Ultimate Energy - 16 oz - Pack de 12 - Energía, Enfoque y Rendimiento Físico",20449,842595135558,45.6,45,"Pack 12"
19081,"Bebida Energetica - Optimum Nutrition - Pack de 12 - Energía y Recuperación",19083,748927060621,43.2,336,"Pack 12"
19081,"Bebida Energetica - Optimum Nutrition - Pack de 12 - Energía y Recuperación",19084,748927062731,43.2,317,"Pack 12"
19081,"Bebida Energetica - Optimum Nutrition - Pack de 12 - Energía y Recuperación",19085,748927060607,43.2,68,"Pack 12"
19081,"Bebida Energetica - Optimum Nutrition - Pack de 12 - Energía y Recuperación",19086,748927062748,43.2,336,"Pack 12"
19081,"Bebida Energetica - Optimum Nutrition - Pack de 12 - Energía y Recuperación",19087,748927060614,43.2,353,"Pack 12"
19081,"Bebida Energetica - Optimum Nutrition - Pack de 12 - Energía y Recuperación",19088,748927068269,43.2,354,"Pack 12"
19081,"Bebida Energetica - Optimum Nutrition - Pack de 12 - Energía y Recuperación",19089,748927063486,43.2,389,"Pack 12"
19071,"Batido de Proteínas - 325 ml - 12 Pack - Recuperación Muscular",19072,748927066593,57.6,127,"Pack 12"
19071,"Batido de Proteínas - 325 ml - 12 Pack - Recuperación Muscular",19073,748927069815,57.6,1228,"Pack 12"
19071,"Batido de Proteínas - 325 ml - 12 Pack - Recuperación Muscular",19074,748927066586,57.6,1565,"Pack 12"
11808,"Proteína RTD Carnivor 500 ml – Proteína Lista para Beber Recuperación y Crecimiento Muscular",20406,891597004034,57.6,721,"500ml unitario"
11808,"Proteína RTD Carnivor 500 ml – Proteína Lista para Beber Recuperación y Crecimiento Muscular",20407,891597006137,57.6,707,"500ml unitario"
11808,"Proteína RTD Carnivor 500 ml – Proteína Lista para Beber Recuperación y Crecimiento Muscular",20408,891597006427,57.6,765,"500ml unitario"
11808,"Proteína RTD Carnivor 500 ml – Proteína Lista para Beber Recuperación y Crecimiento Muscular",20409,891597006113,57.6,785,"500ml unitario"
